#{"t_start": 1759324883.863047, "env_id": "CartPole-v1"}
r,l,t
144.0,144,126.228882
126.0,126,126.337043
140.0,140,126.456929
128.0,128,126.570201
130.0,130,126.685985
116.0,116,126.789853
111.0,111,126.886745
125.0,125,126.99541
119.0,119,127.099797
124.0,124,127.210019
117.0,117,127.31259
114.0,114,127.409509
102.0,102,127.499203
114.0,114,127.600992
133.0,133,127.718223
125.0,125,127.833492
131.0,131,127.952248
138.0,138,128.073414
135.0,135,128.19977
142.0,142,128.32409
161.0,161,128.472281
132.0,132,128.594809
137.0,137,128.718646
133.0,133,128.839602
130.0,130,128.956386
134.0,134,129.074798
129.0,129,129.184218
141.0,141,129.308245
122.0,122,129.412534
134.0,134,129.53437
110.0,110,129.639978
109.0,109,129.744262
106.0,106,129.839902
115.0,115,129.944065
133.0,133,130.059731
114.0,114,130.15644
125.0,125,130.266149
119.0,119,130.371924
143.0,143,130.504168
125.0,125,130.613622
125.0,125,130.729944
137.0,137,130.849439
130.0,130,130.966409
113.0,113,131.068636
120.0,120,131.177118
112.0,112,131.272434
111.0,111,131.370667
124.0,124,131.479258
132.0,132,131.595433
117.0,117,131.700068
124.0,124,131.808822
129.0,129,131.923524
131.0,131,132.039688
144.0,144,132.165215
130.0,130,132.277728
130.0,130,132.397733
132.0,132,132.518517
123.0,123,132.623303
120.0,120,132.729941
133.0,133,132.844982
130.0,130,132.960871
136.0,136,133.077554
126.0,126,133.192157
143.0,143,133.315482
135.0,135,133.440652
124.0,124,133.546254
134.0,134,133.671832
138.0,138,133.790135
137.0,137,133.911118
135.0,135,134.03198
146.0,146,134.164175
135.0,135,134.280711
160.0,160,134.424043
154.0,154,134.559689
150.0,150,134.691613
146.0,146,134.821347
161.0,161,134.965389
170.0,170,135.11295
150.0,150,135.245236
140.0,140,135.368548
165.0,165,135.511652
176.0,176,135.663587
165.0,165,135.813061
178.0,178,135.973136
160.0,160,136.114967
173.0,173,136.267905
180.0,180,136.426197
189.0,189,136.594827
210.0,210,136.779979
500.0,500,137.223538
220.0,220,137.417844
208.0,208,137.606454
205.0,205,137.785323
243.0,243,138.000372
500.0,500,138.47127
188.0,188,138.636502
184.0,184,138.79567
197.0,197,138.965907
191.0,191,139.131003
224.0,224,139.335949
202.0,202,139.516311
202.0,202,139.695469
212.0,212,139.899505
181.0,181,140.05753
198.0,198,140.230087
314.0,314,142.057961
216.0,216,142.247314
