#{"t_start": 1760168200.6809075, "env_id": "None"}
r,l,t
9.0,9,83.415616
9.0,9,83.423344
10.0,10,83.43076
8.0,8,83.436863
11.0,11,83.446154
9.0,9,83.45184
10.0,10,83.460634
10.0,10,83.467921
10.0,10,83.475689
9.0,9,83.482949
10.0,10,83.490234
12.0,11,83.500184
9.0,9,83.506914
10.0,10,83.516147
9.0,9,83.521739
8.0,8,83.528604
10.0,10,83.537864
9.0,9,83.546605
10.0,10,83.554164
10.0,10,83.562518
10.0,10,83.569694
9.0,9,83.577402
10.0,10,83.584799
8.0,8,83.590978
10.0,10,83.599745
8.0,8,83.605473
10.0,10,83.613334
10.0,10,83.622724
11.0,11,83.629941
9.0,9,83.638023
9.0,9,83.64412
8.0,8,83.650158
9.0,9,83.657208
10.0,10,83.665184
9.0,9,83.672364
9.0,9,83.678566
10.0,10,83.68729
10.0,10,83.693625
9.0,9,83.700246
13.0,12,83.708888
10.0,10,83.718132
9.0,9,83.723851
10.0,10,83.733289
10.0,10,83.739024
10.0,10,83.74809
9.0,9,83.754142
9.0,9,83.7607
9.0,9,83.768788
9.0,9,83.781146
10.0,10,83.786898
10.0,10,83.796216
10.0,10,83.801787
10.0,10,83.811004
8.0,8,83.816699
10.0,10,83.822828
9.0,9,83.830069
9.0,9,83.837683
11.0,11,83.845365
10.0,10,83.852619
10.0,10,83.859927
10.0,10,83.868677
10.0,10,83.874831
9.0,9,83.88351
10.0,10,83.890046
10.0,10,83.896142
10.0,10,83.902282
10.0,10,83.911031
8.0,8,83.917198
9.0,9,83.92551
8.0,8,83.932589
10.0,10,83.939141
9.0,9,83.947304
10.0,10,83.952978
9.0,9,83.960801
10.0,10,83.969116
8.0,8,83.977646
8.0,8,83.985383
9.0,9,83.994057
9.0,9,83.999676
10.0,10,84.009014
10.0,10,84.015223
9.0,9,84.024763
10.0,10,84.032066
8.0,8,84.039356
8.0,8,84.046857
9.0,9,84.054159
11.0,10,84.062445
11.0,11,84.072114
10.0,10,84.078677
10.0,10,84.087902
10.0,10,84.09449
11.0,10,84.104272
10.0,10,84.111893
10.0,10,84.122033
10.0,10,84.129106
9.0,9,84.136272
9.0,9,84.144511
9.0,9,84.151599
12.0,12,84.160297
9.0,9,84.166493
9.0,9,84.173753
9.0,9,84.181457
10.0,10,84.188514
8.0,8,84.195685
9.0,9,84.20173
10.0,10,84.209953
11.0,10,84.217647
9.0,9,84.22625
10.0,10,84.233803
9.0,9,84.239367
9.0,9,84.247069
11.0,11,84.254969
8.0,8,84.262117
9.0,9,84.270697
10.0,10,84.276756
10.0,10,84.286953
10.0,10,84.293557
9.0,9,84.300693
10.0,10,84.309261
9.0,9,84.31531
10.0,10,84.325832
10.0,10,84.332452
8.0,8,84.338118
9.0,9,84.343834
9.0,9,84.353066
8.0,8,84.359078
8.0,8,84.364224
10.0,10,84.370434
10.0,10,84.379241
10.0,10,84.38712
8.0,8,84.393477
10.0,10,84.402255
10.0,10,84.40953
10.0,10,84.420102
11.0,11,84.426309
9.0,9,84.434015
9.0,9,84.439756
10.0,10,84.447447
9.0,9,84.455807
9.0,9,84.461858
9.0,9,84.468404
11.0,11,84.477543
9.0,9,84.483672
10.0,10,84.494913
9.0,9,84.502987
8.0,8,84.51018
11.0,11,84.518123
8.0,8,84.524696
9.0,9,84.530746
10.0,10,84.538033
8.0,8,84.544217
9.0,9,84.554884
9.0,9,84.561432
10.0,10,84.568552
10.0,10,84.576303
8.0,8,84.582489
11.0,11,84.591197
9.0,8,84.597878
8.0,8,84.604066
10.0,10,84.609781
10.0,10,84.619672
10.0,10,84.625886
10.0,10,84.63359
10.0,10,84.641327
