#{"t_start": 1760168200.6778426, "env_id": "None"}
r,l,t
11.0,11,8.206367
11.0,11,8.213426
10.0,10,8.22266
12.0,12,8.233084
13.0,13,8.243165
9.0,9,8.252735
11.0,11,8.263233
11.0,11,8.27459
14.0,14,8.284834
10.0,10,8.295753
10.0,10,8.302806
11.0,11,8.314396
10.0,10,8.328089
10.0,10,8.33583
16.0,16,8.348692
9.0,9,8.354884
12.0,12,8.363379
11.0,11,8.372743
9.0,9,8.380043
11.0,11,8.38734
10.0,10,8.397173
10.0,10,8.404738
12.0,12,8.412497
10.0,10,8.421352
10.0,10,8.429117
8.0,8,8.436088
11.0,11,8.448179
24.0,24,8.469344
12.0,12,8.479692
11.0,11,8.490262
9.0,9,8.495844
11.0,11,8.504448
12.0,12,8.513124
11.0,11,8.519163
14.0,14,8.530529
9.0,9,8.536717
11.0,11,8.544015
13.0,13,8.553281
9.0,9,8.561145
9.0,9,8.568888
10.0,10,8.576182
12.0,12,8.585476
9.0,9,8.592236
9.0,9,8.601328
9.0,9,8.607363
10.0,10,8.612017
9.0,9,8.620309
11.0,11,8.62714
11.0,11,8.636382
12.0,12,8.643663
12.0,12,8.651362
11.0,11,8.660082
14.0,14,8.669335
11.0,11,8.677062
10.0,10,8.685886
9.0,9,8.692606
11.0,11,8.700297
9.0,9,8.706021
10.0,10,8.712163
14.0,14,8.722641
10.0,10,8.728829
9.0,9,8.736084
12.0,12,8.745378
10.0,10,8.751096
12.0,12,8.760379
9.0,9,8.766121
11.0,11,8.776828
12.0,12,8.785421
11.0,11,8.793966
12.0,12,8.801563
13.0,13,8.811709
10.0,10,8.819588
9.0,9,8.826805
11.0,11,8.834525
12.0,12,8.842348
11.0,11,8.84902
10.0,10,8.85784
12.0,12,8.866031
9.0,9,8.870662
9.0,9,8.876374
10.0,10,8.884126
10.0,10,8.890369
9.0,9,8.897476
9.0,9,8.903475
10.0,10,8.909203
11.0,11,8.91912
12.0,12,8.92832
12.0,12,8.936387
10.0,10,8.945178
9.0,9,8.952155
8.0,8,8.958755
10.0,10,8.963802
9.0,9,8.972489
10.0,10,8.980061
10.0,10,8.988838
10.0,10,8.994946
8.0,8,9.000675
9.0,9,9.006389
10.0,10,9.015216
9.0,9,9.021432
8.0,8,9.028528
9.0,9,9.035059
11.0,11,9.042764
10.0,10,9.050459
14.0,14,9.060084
10.0,10,9.068388
12.0,12,9.077232
10.0,10,9.081842
9.0,9,9.088671
10.0,10,9.098752
11.0,11,9.107149
11.0,11,9.114198
11.0,11,9.122525
12.0,12,9.131554
9.0,9,9.139708
11.0,11,9.148623
16.0,16,9.159954
10.0,10,9.168264
10.0,10,9.174306
10.0,10,9.18193
12.0,12,9.190302
11.0,11,9.196453
12.0,12,9.207168
10.0,10,9.217042
8.0,8,9.222854
12.0,12,9.230926
10.0,10,9.23729
10.0,10,9.243489
10.0,10,9.25079
11.0,11,9.259507
11.0,11,9.267155
12.0,12,9.276242
10.0,10,9.282414
11.0,11,9.289987
12.0,12,9.29834
10.0,10,9.307387
10.0,10,9.312654
9.0,9,9.319498
10.0,10,9.327229
10.0,10,9.334506
8.0,8,9.340619
9.0,9,9.349511
11.0,11,9.356769
9.0,9,9.36453
11.0,11,9.372249
10.0,10,9.379981
9.0,9,9.384694
15.0,15,9.396582
12.0,12,9.404889
10.0,10,9.411545
10.0,10,9.420785
10.0,10,9.426391
8.0,8,9.432543
9.0,9,9.441191
9.0,9,9.44804
10.0,10,9.454226
14.0,14,9.465033
11.0,11,9.473828
9.0,9,9.480705
8.0,8,9.485893
10.0,10,9.492055
10.0,10,9.501358
9.0,9,9.507549
10.0,10,9.516823
10.0,10,9.522933
10.0,10,9.532452
11.0,11,9.539688
9.0,9,9.549058
9.0,9,9.555625
10.0,10,9.561172
10.0,10,9.570378
9.0,9,9.577651
10.0,10,9.585267
12.0,12,9.593903
9.0,9,9.601096
9.0,9,9.607668
9.0,9,9.613861
10.0,10,9.621934
10.0,10,9.626489
11.0,11,9.634192
10.0,10,9.642944
11.0,11,9.649187
10.0,10,9.657885
14.0,14,9.667253
10.0,10,9.676047
10.0,10,9.681676
12.0,12,9.690522
8.0,8,9.696717
10.0,10,9.70704
9.0,9,9.713302
9.0,9,9.718882
13.0,13,9.729261
10.0,10,9.73802
11.0,11,9.745796
10.0,10,9.751855
10.0,10,9.759032
10.0,10,9.766295
8.0,8,9.772452
10.0,10,9.78024
9.0,9,9.78753
10.0,10,9.796576
10.0,10,9.803705
9.0,9,9.811603
10.0,10,9.820102
9.0,9,9.826272
9.0,9,9.833543
10.0,10,9.841141
11.0,11,9.849399
11.0,11,9.855508
10.0,10,9.863819
9.0,9,9.870007
8.0,8,9.876912
10.0,10,9.885605
10.0,10,9.891299
13.0,13,9.900517
11.0,11,9.90978
8.0,8,9.914916
11.0,11,9.923006
8.0,8,9.928709
8.0,8,9.935866
10.0,10,9.942011
10.0,10,9.950701
10.0,10,9.95643
8.0,8,9.962599
10.0,10,9.971195
8.0,8,9.976935
9.0,9,9.982997
9.0,9,9.990544
11.0,11,9.99909
10.0,10,10.006344
9.0,9,10.012128
10.0,10,10.017829
